Worker ID,Date,Raw Effort,Application,Repo,Task id
,24/09/2015,130.48,Application 1,Repo 1,
,14/07/2015,65.88,Null,Repo 2,
,15/07/2015,29.99,Null,Repo 2,
,16/07/2015,14.42,Null,Repo 2,
,17/07/2015,5.08,Null,Repo 2,
,30/07/2015,39.6,Null,Repo 2,
,07/08/2015,14.95,Null,Repo 2,
,19/08/2015,24.56,Null,Repo 2,
,02/09/2015,15.57,Null,Repo 2,
,23/09/2015,22.84,Null,Repo 2,hwe-41
,24/09/2015,11.04,Null,Repo 2,hwe-41
,25/09/2015,2.13,Null,Repo 2,hwe-41
,25/09/2015,9.96,Null,Repo 2,hwe-193
,28/09/2015,3.07,Null,Repo 2,hwe-41
,17/07/2015,19.8,Application 2,Repo 3,
,21/07/2015,0.11,Application 2,Repo 3,
,22/07/2015,0.12,Application 2,Repo 3,
,29/07/2015,0.11,Application 2,Repo 3,
,31/07/2015,19.44,Application 2,Repo 3,
,05/08/2015,0.07,Application 2,Repo 3,
,06/08/2015,19.39,Application 2,Repo 3,
,12/08/2015,0.06,Application 2,Repo 3,
,13/08/2015,0.07,Application 2,Repo 3,
,14/08/2015,0.15,Application 2,Repo 3,
,17/08/2015,0,Application 2,Repo 3,
,18/08/2015,19.37,Application 2,Repo 3,
,20/08/2015,0.04,Application 2,Repo 3,
,21/08/2015,0.1,Application 2,Repo 3,
,24/08/2015,19.35,Application 2,Repo 3,
,25/08/2015,19.41,Application 2,Repo 3,
,26/08/2015,19.46,Application 2,Repo 3,
,27/08/2015,0.09,Application 2,Repo 3,
,01/09/2015,19.51,Application 2,Repo 3,
,02/09/2015,0.08,Application 2,Repo 3,
,10/09/2015,0.03,Application 2,Repo 3,
,11/09/2015,0.07,Application 2,Repo 3,
,16/09/2015,0.05,Application 2,Repo 3,
,18/09/2015,0.06,Application 2,Repo 3,
,02/07/2015,33.79,Application 3,Repo 4,
,06/07/2015,15.93,Application 99,Repo 5,
,09/07/2015,29.6,Application 99,Repo 5,
,16/07/2015,14.8,Application 99,Repo 5,
,17/07/2015,14.8,Application 99,Repo 5,
,22/07/2015,7.22,Application 99,Repo 5,
,06/08/2015,7.16,Application 99,Repo 5,
,12/08/2015,7.13,Application 99,Repo 5,
,13/08/2015,7.13,Application 99,Repo 5,
,21/08/2015,14.28,Application 99,Repo 5,
,26/08/2015,7.13,Application 99,Repo 5,
,02/09/2015,7.13,Application 99,Repo 5,
,04/09/2015,7.13,Application 99,Repo 5,
,16/09/2015,7.06,Application 99,Repo 5,
,28/09/2015,8.53,Application 99,Repo 5,
,02/07/2015,8.01,Application 3,Repo 6,xcb-10288
,03/07/2015,0.01,Application 3,Repo 6,xcb-4729
,03/07/2015,0.21,Application 3,Repo 6,xcb-6317
,06/07/2015,2.48,Application 3,Repo 6,xcb-11185
,07/07/2015,0.04,Application 3,Repo 6,xcb-10619
,07/07/2015,8.03,Application 3,Repo 6,xcb-11219
,07/07/2015,0.29,Application 3,Repo 6,xcb-11220
,07/07/2015,0.12,Application 3,Repo 6,xcb-11254
,08/07/2015,0.27,Application 3,Repo 6,xcb-10542
,09/07/2015,5.12,Application 3,Repo 6,xcb-11185
,13/07/2015,0.02,Application 3,Repo 6,
,13/07/2015,0.15,Application 3,Repo 6,xcb-10204
,14/07/2015,0.2,Application 3,Repo 6,xcb-10492
,14/07/2015,0.02,Application 3,Repo 6,xcb-10763
,14/07/2015,19.65,Application 3,Repo 6,xcb-11123
,14/07/2015,4.25,Application 3,Repo 6,xcb-11179
,14/07/2015,0.32,Application 3,Repo 6,xcb-11293
,15/07/2015,4.14,Application 3,Repo 6,xcb-2248
,15/07/2015,0.05,Application 3,Repo 6,xcb-11196
,15/07/2015,3.15,Application 3,Repo 6,xcb-11293
,16/07/2015,5.12,Application 3,Repo 6,xcb-2248
,16/07/2015,0.05,Application 3,Repo 6,xcb-11339
,16/07/2015,23.4,Application 3,Repo 6,xcb-11523
,17/07/2015,0.07,Application 3,Repo 6,xcb-11573
,20/07/2015,1.39,Application 3,Repo 6,
,21/07/2015,8.26,Application 3,Repo 6,xcb-11523
,22/07/2015,0.28,Application 3,Repo 6,
,22/07/2015,4.06,Application 3,Repo 6,xcb-2248
,22/07/2015,0.64,Application 3,Repo 6,xcb-11553
,23/07/2015,6.97,Application 3,Repo 6,
,24/07/2015,16.13,Application 3,Repo 6,
,27/07/2015,2.93,Application 3,Repo 6,
,28/07/2015,11.62,Application 3,Repo 6,
,29/07/2015,0.89,Application 3,Repo 6,
,30/07/2015,0.38,Application 3,Repo 6,
,31/07/2015,0.22,Application 3,Repo 6,
,03/08/2015,5.81,Application 3,Repo 6,
,04/08/2015,0.72,Application 3,Repo 6,
,05/08/2015,14.21,Application 3,Repo 6,
,06/08/2015,5.92,Application 3,Repo 6,
,07/08/2015,46.31,Application 3,Repo 6,
,10/08/2015,0.09,Application 3,Repo 6,
,12/08/2015,8.13,Application 3,Repo 6,
,14/08/2015,4.03,Application 3,Repo 6,
,15/08/2015,1.07,Application 3,Repo 6,
,18/08/2015,36.46,Application 3,Repo 6,
,19/08/2015,19.98,Application 3,Repo 6,
,20/08/2015,50.1,Application 3,Repo 6,
,21/08/2015,0.35,Application 3,Repo 6,
,24/08/2015,4.51,Application 3,Repo 6,
,25/08/2015,7.59,Application 3,Repo 6,
,26/08/2015,35.14,Application 3,Repo 6,
,27/08/2015,0.04,Application 3,Repo 6,
,28/08/2015,20.02,Application 3,Repo 6,
,31/08/2015,0.01,Application 3,Repo 6,
,03/09/2015,5.51,Application 3,Repo 6,
,04/09/2015,0.25,Application 3,Repo 6,
,07/09/2015,0.22,Application 3,Repo 6,
,08/09/2015,10.8,Application 3,Repo 6,
,09/09/2015,7.17,Application 3,Repo 6,
,10/09/2015,3.07,Application 3,Repo 6,
,11/09/2015,9.35,Application 3,Repo 6,
,14/09/2015,7.88,Application 3,Repo 6,
,15/09/2015,18.17,Application 3,Repo 6,
,16/09/2015,9.53,Application 3,Repo 6,
,17/09/2015,9.86,Application 3,Repo 6,
,18/09/2015,7.55,Application 3,Repo 6,
,21/09/2015,8.75,Application 3,Repo 6,
,22/09/2015,8.82,Application 3,Repo 6,
,23/09/2015,3.86,Application 3,Repo 6,
,24/09/2015,4.04,Application 3,Repo 6,
,25/09/2015,9.37,Application 3,Repo 6,
,28/09/2015,1.18,Application 3,Repo 6,
,29/09/2015,9.44,Application 3,Repo 6,
,30/09/2015,16.5,Application 3,Repo 6,
,06/07/2015,52.29,Application 199,Repo 7,
,10/07/2015,24.58,Application 199,Repo 7,
,05/08/2015,0,Application 4,Repo 8,
,06/08/2015,0,Application 4,Repo 8,
,07/08/2015,0,Application 4,Repo 8,
,04/07/2015,4.62,Application 4,Repo 9,
,05/07/2015,82.83,Application 4,Repo 9,
,07/07/2015,5.13,Application 4,Repo 9,
,13/07/2015,85.59,Application 4,Repo 9,
,24/09/2015,77.79,Application 5,Repo 10,
,29/09/2015,0,Application 5,Repo 11,
,30/09/2015,0,Application 5,Repo 11,
,29/09/2015,0.31,Application 5,Repo 12,
,02/07/2015,13.12,Application 5,Repo 13,cbb-5816
,13/07/2015,7.42,Application 5,Repo 13,cbb-5816
,14/07/2015,21.47,Application 5,Repo 13,cbb-5816
,15/07/2015,10.59,Application 5,Repo 13,cbb-5816
,04/09/2015,0.01,Application 5,Repo 13,cbb-21245
,09/07/2015,45.38,Application 5,Repo 14,cbb-17232
,16/07/2015,11.64,Application 6,Repo 15,
,10/09/2015,12.04,Application 7,Repo 16,
,27/07/2015,90.27,Application 190,Repo 17,
,29/07/2015,81.07,Application 190,Repo 17,
,30/07/2015,6.37,Application 190,Repo 17,
,31/07/2015,16.34,Application 190,Repo 17,
,01/07/2015,0,Application 8,Repo 18,
,03/07/2015,0,Application 8,Repo 18,
,06/07/2015,0,Application 8,Repo 18,
,23/07/2015,0,Application 8,Repo 18,
,04/08/2015,0,Application 8,Repo 19,
,08/09/2015,0,Application 8,Repo 19,
,09/09/2015,0.02,Application 8,Repo 19,
,09/09/2015,0.01,Application 8,Repo 20,
,13/08/2015,8.62,Application 190,Repo 21,
,19/08/2015,47.25,Application 190,Repo 21,
,01/07/2015,101.55,Application 8,Repo 22,
,02/07/2015,29.16,Application 8,Repo 22,
,02/07/2015,60.18,Application 8,Repo 22,scb-5579
,02/07/2015,3.21,Application 8,Repo 22,scb-6241
,03/07/2015,2.69,Application 8,Repo 22,
,21/07/2015,11.91,Application 8,Repo 22,
,22/07/2015,90.04,Application 8,Repo 22,
,23/07/2015,82.28,Application 8,Repo 22,
,24/07/2015,43.34,Application 8,Repo 22,
,27/07/2015,1.43,Application 8,Repo 22,
,30/07/2015,2.69,Application 8,Repo 22,
,05/08/2015,35.69,Application 8,Repo 22,
,06/08/2015,20.91,Application 8,Repo 22,
,11/08/2015,17.48,Application 8,Repo 22,
,12/08/2015,7.23,Application 8,Repo 22,
,14/08/2015,99.95,Application 8,Repo 22,scb-6901
,18/08/2015,25.64,Application 8,Repo 22,
,19/08/2015,26.57,Application 8,Repo 22,
,25/08/2015,53.59,Application 8,Repo 22,
,26/08/2015,26.95,Application 8,Repo 22,
,27/08/2015,25.2,Application 8,Repo 22,
,01/09/2015,0.02,Application 8,Repo 22,
,02/09/2015,3.72,Application 8,Repo 22,
,07/09/2015,134.83,Application 8,Repo 22,scb-7094
,09/09/2015,6.6,Application 8,Repo 22,
,11/09/2015,19.57,Application 8,Repo 22,
,18/09/2015,7.7,Application 8,Repo 22,
,29/09/2015,0.22,Application 8,Repo 22,
,30/09/2015,39.94,Application 8,Repo 22,scb-7523
,28/07/2015,41.59,Application 190,Repo 23,
,29/07/2015,23.96,Application 190,Repo 23,
,30/07/2015,26.45,Application 190,Repo 23,
,31/07/2015,31.4,Application 190,Repo 23,
,05/08/2015,81.3,Application 190,Repo 23,
,07/08/2015,85.82,Application 190,Repo 23,
,11/08/2015,90.3,Application 190,Repo 23,
,20/08/2015,61.59,Application 190,Repo 23,
,24/08/2015,8.92,Application 190,Repo 23,
,07/09/2015,6.52,Application 190,Repo 23,
,11/09/2015,15.08,Application 190,Repo 23,
,22/09/2015,28.65,Application 190,Repo 23,
,23/09/2015,111.83,Application 190,Repo 23,
,24/09/2015,24.17,Application 190,Repo 23,
,24/07/2015,0,Application 37,Repo 24,
,14/07/2015,0,Application 37,Repo 25,
,27/07/2015,0,Application 37,Repo 25,
,10/08/2015,118.89,Application 10,Repo 26,
,08/07/2015,0,Application 68,Repo 27,
,14/07/2015,0,Application 68,Repo 27,
,29/07/2015,28.23,Application 68,Repo 27,
,31/07/2015,31.88,Application 68,Repo 27,
,04/08/2015,0,Application 68,Repo 28,
,06/08/2015,0,Application 68,Repo 28,
,27/08/2015,0,Application 68,Repo 28,
,24/08/2015,0,Application 68,Repo 29,
,25/08/2015,51.59,Application 68,Repo 29,
,26/08/2015,15.85,Application 68,Repo 29,
,07/09/2015,60.42,Application 68,Repo 29,
,08/09/2015,48.55,Application 68,Repo 29,
,22/09/2015,15.94,Application 68,Repo 29,
,03/09/2015,0,Application 11,Repo 30,
,05/08/2015,3.2,Application 11,Repo 31,
,01/07/2015,33.25,Application 12,Repo 32,
,02/07/2015,46.28,Application 12,Repo 32,
,03/07/2015,19.04,Application 12,Repo 32,
,09/07/2015,13.52,Application 12,Repo 32,
,16/07/2015,5.97,Application 12,Repo 32,
,17/07/2015,21.25,Application 12,Repo 32,
,21/07/2015,20.11,Application 12,Repo 32,
,23/07/2015,21.57,Application 12,Repo 32,
,27/07/2015,27.23,Application 12,Repo 32,
,28/07/2015,24.6,Application 12,Repo 32,
,14/08/2015,38.78,Application 12,Repo 32,
,02/09/2015,78.21,Application 12,Repo 32,
,08/09/2015,6.59,Application 12,Repo 32,
,09/09/2015,9.28,Application 12,Repo 32,
,08/07/2015,6.66,Application 84,Repo 33,
,09/07/2015,12.19,Application 84,Repo 33,
,28/07/2015,25.02,Application 84,Repo 33,
,28/08/2015,13.23,Application 84,Repo 33,
,31/08/2015,6.59,Application 84,Repo 33,
,01/09/2015,6.59,Application 84,Repo 33,
,17/09/2015,12.04,Application 84,Repo 33,
,18/09/2015,12.39,Application 84,Repo 33,
,05/08/2015,14.62,Application 3,Repo 34,
,06/08/2015,15.3,Application 3,Repo 34,
,07/08/2015,80.77,Application 3,Repo 34,
,10/08/2015,6.76,Application 3,Repo 34,
,12/08/2015,25.32,Application 3,Repo 34,
,13/08/2015,80.68,Application 3,Repo 34,
,14/08/2015,41.9,Application 3,Repo 34,
,18/08/2015,7.28,Application 3,Repo 34,
,19/08/2015,13.05,Application 3,Repo 34,
,21/08/2015,26.34,Application 3,Repo 34,
,26/08/2015,16.09,Application 3,Repo 34,
,28/08/2015,41.47,Application 3,Repo 34,
,31/08/2015,13.78,Application 3,Repo 34,
,02/09/2015,15.05,Application 3,Repo 34,
,03/09/2015,18.14,Application 3,Repo 34,
,04/09/2015,40.01,Application 3,Repo 34,
,07/09/2015,8.28,Application 3,Repo 34,
,11/09/2015,13.81,Application 3,Repo 34,
,29/09/2015,31.86,Application 3,Repo 34,
,02/07/2015,29.21,Application 13,Repo 35,
,08/07/2015,8.58,Application 13,Repo 35,
,10/07/2015,12.39,Application 13,Repo 35,
,15/07/2015,34.64,Application 13,Repo 35,
,16/07/2015,5.58,Application 13,Repo 35,
,29/07/2015,87.57,Application 13,Repo 35,
,30/07/2015,2.18,Application 13,Repo 35,
,31/07/2015,13.27,Application 13,Repo 35,
,01/09/2015,88.03,Application 13,Repo 35,
,03/09/2015,0.02,Application 13,Repo 35,
,10/09/2015,8.42,Application 13,Repo 35,
,01/07/2015,35.67,Application 14,Repo 36,
,03/07/2015,6.41,Application 14,Repo 36,
,10/07/2015,3.86,Application 14,Repo 36,
,13/07/2015,23.07,Application 14,Repo 36,
,17/07/2015,13.86,Application 14,Repo 36,
,23/07/2015,22.37,Application 14,Repo 36,
,24/07/2015,57.68,Application 14,Repo 36,
,27/07/2015,9.37,Application 6,Repo 37,
,01/09/2015,0,Application 384,Repo 38,
,08/09/2015,0,Application 384,Repo 38,
,26/08/2015,0,Application 15,Repo 39,
,27/08/2015,0,Application 15,Repo 39,
,09/09/2015,0,Application 15,Repo 39,
,26/08/2015,0,Application 15,Repo 40,
